date,regime,posture,confidence,risk_score,composite,growth,liquidity,breadth,credit,volatility_safety,payload,recorded_at
2025-07-25,Risk-On Expansion,Growth-oriented,78.8,16.0,84.0,100.0,82.4,88.2,88.3,61.2,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 78.8, ""risk_score"": 16.0, ""composite"": 84.0, ""components"": {""Growth"": 100.0, ""Liquidity"": 82.4, ""Breadth"": 88.2, ""Credit"": 88.3, ""Volatility safety"": 61.2}}",2026-07-22T16:02:36.704092+00:00
2025-08-01,Risk-On Expansion,Growth-oriented,73.9,23.0,77.0,99.6,72.3,71.8,81.4,59.8,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 73.9, ""risk_score"": 23.0, ""composite"": 77.0, ""components"": {""Growth"": 99.6, ""Liquidity"": 72.3, ""Breadth"": 71.8, ""Credit"": 81.4, ""Volatility safety"": 59.8}}",2026-07-22T16:02:36.853899+00:00
2025-08-08,Risk-On Expansion,Growth-oriented,75.1,21.2,78.8,100.0,75.2,74.5,83.5,60.8,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 75.1, ""risk_score"": 21.2, ""composite"": 78.8, ""components"": {""Growth"": 100.0, ""Liquidity"": 75.2, ""Breadth"": 74.5, ""Credit"": 83.5, ""Volatility safety"": 60.8}}",2026-07-22T16:02:37.007995+00:00
2025-08-15,Risk-On Expansion,Growth-oriented,72.7,24.6,75.4,84.7,66.1,79.6,81.5,64.9,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 72.7, ""risk_score"": 24.6, ""composite"": 75.4, ""components"": {""Growth"": 84.7, ""Liquidity"": 66.1, ""Breadth"": 79.6, ""Credit"": 81.5, ""Volatility safety"": 64.9}}",2026-07-22T16:02:37.158342+00:00
2025-08-22,Risk-On Expansion,Growth-oriented,78.0,17.2,82.8,100.0,77.4,85.2,86.4,65.2,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 78.0, ""risk_score"": 17.2, ""composite"": 82.8, ""components"": {""Growth"": 100.0, ""Liquidity"": 77.4, ""Breadth"": 85.2, ""Credit"": 86.4, ""Volatility safety"": 65.2}}",2026-07-22T16:02:37.316157+00:00
2025-08-29,Risk-On Expansion,Growth-oriented,75.8,20.3,79.7,93.5,71.8,82.5,84.7,66.1,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 75.8, ""risk_score"": 20.3, ""composite"": 79.7, ""components"": {""Growth"": 93.5, ""Liquidity"": 71.8, ""Breadth"": 82.5, ""Credit"": 84.7, ""Volatility safety"": 66.1}}",2026-07-22T16:02:37.469708+00:00
2025-09-05,Risk-On Expansion,Growth-oriented,72.2,25.5,74.5,82.9,65.1,76.8,81.8,65.9,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 72.2, ""risk_score"": 25.5, ""composite"": 74.5, ""components"": {""Growth"": 82.9, ""Liquidity"": 65.1, ""Breadth"": 76.8, ""Credit"": 81.8, ""Volatility safety"": 65.9}}",2026-07-22T16:02:37.626465+00:00
2025-09-12,Risk-On Expansion,Growth-oriented,74.5,22.1,77.9,88.1,68.4,83.5,83.3,66.0,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 74.5, ""risk_score"": 22.1, ""composite"": 77.9, ""components"": {""Growth"": 88.1, ""Liquidity"": 68.4, ""Breadth"": 83.5, ""Credit"": 83.3, ""Volatility safety"": 66.0}}",2026-07-22T16:02:37.782481+00:00
2025-09-19,Risk-On Expansion,Growth-oriented,75.9,20.1,79.9,91.9,70.9,84.9,84.8,66.8,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 75.9, ""risk_score"": 20.1, ""composite"": 79.9, ""components"": {""Growth"": 91.9, ""Liquidity"": 70.9, ""Breadth"": 84.9, ""Credit"": 84.8, ""Volatility safety"": 66.8}}",2026-07-22T16:02:37.940532+00:00
2025-09-26,Risk-On Expansion,Growth-oriented,73.8,23.2,76.8,81.7,64.7,86.8,83.0,67.8,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 73.8, ""risk_score"": 23.2, ""composite"": 76.8, ""components"": {""Growth"": 81.7, ""Liquidity"": 64.7, ""Breadth"": 86.8, ""Credit"": 83.0, ""Volatility safety"": 67.8}}",2026-07-22T16:02:38.101025+00:00
2025-10-03,Risk-On Expansion,Growth-oriented,75.1,21.3,78.7,85.0,66.7,90.3,83.8,67.7,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 75.1, ""risk_score"": 21.3, ""composite"": 78.7, ""components"": {""Growth"": 85.0, ""Liquidity"": 66.7, ""Breadth"": 90.3, ""Credit"": 83.8, ""Volatility safety"": 67.7}}",2026-07-22T16:02:38.260922+00:00
2025-10-10,Late-Cycle Risk-On,Moderately invested,68.3,31.0,69.0,72.1,58.0,74.9,77.0,63.1,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 68.3, ""risk_score"": 31.0, ""composite"": 69.0, ""components"": {""Growth"": 72.1, ""Liquidity"": 58.0, ""Breadth"": 74.9, ""Credit"": 77.0, ""Volatility safety"": 63.1}}",2026-07-22T16:02:38.420453+00:00
2025-10-17,Risk-On Expansion,Growth-oriented,70.9,27.2,72.8,82.2,64.0,77.8,78.3,61.5,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 70.9, ""risk_score"": 27.2, ""composite"": 72.8, ""components"": {""Growth"": 82.2, ""Liquidity"": 64.0, ""Breadth"": 77.8, ""Credit"": 78.3, ""Volatility safety"": 61.5}}",2026-07-22T16:02:38.582373+00:00
2025-10-24,Risk-On Expansion,Growth-oriented,72.7,24.7,75.3,85.1,65.8,85.6,78.7,61.1,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 72.7, ""risk_score"": 24.7, ""composite"": 75.3, ""components"": {""Growth"": 85.1, ""Liquidity"": 65.8, ""Breadth"": 85.6, ""Credit"": 78.7, ""Volatility safety"": 61.1}}",2026-07-22T16:02:38.738939+00:00
2025-10-31,Risk-On Expansion,Growth-oriented,75.9,20.2,79.8,99.0,72.3,82.3,83.2,62.4,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 75.9, ""risk_score"": 20.2, ""composite"": 79.8, ""components"": {""Growth"": 99.0, ""Liquidity"": 72.3, ""Breadth"": 82.3, ""Credit"": 83.2, ""Volatility safety"": 62.4}}",2026-07-22T16:02:38.897839+00:00
2025-11-07,Risk-On Expansion,Growth-oriented,71.8,26.1,73.9,83.5,64.8,82.2,78.3,61.0,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 71.8, ""risk_score"": 26.1, ""composite"": 73.9, ""components"": {""Growth"": 83.5, ""Liquidity"": 64.8, ""Breadth"": 82.2, ""Credit"": 78.3, ""Volatility safety"": 61.0}}",2026-07-22T16:02:39.086489+00:00
2025-11-14,Risk-On Expansion,Growth-oriented,72.6,24.9,75.1,86.8,66.6,84.5,78.0,59.6,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 72.6, ""risk_score"": 24.9, ""composite"": 75.1, ""components"": {""Growth"": 86.8, ""Liquidity"": 66.6, ""Breadth"": 84.5, ""Credit"": 78.0, ""Volatility safety"": 59.6}}",2026-07-22T16:02:39.245915+00:00
2025-11-21,Late-Cycle Risk-On,Moderately invested,64.2,36.8,63.2,67.4,54.2,64.2,71.9,58.1,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 64.2, ""risk_score"": 36.8, ""composite"": 63.2, ""components"": {""Growth"": 67.4, ""Liquidity"": 54.2, ""Breadth"": 64.2, ""Credit"": 71.9, ""Volatility safety"": 58.1}}",2026-07-22T16:02:39.407572+00:00
2025-11-28,Risk-On Expansion,Growth-oriented,73.0,24.3,75.7,90.5,68.5,85.3,77.0,57.1,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 73.0, ""risk_score"": 24.3, ""composite"": 75.7, ""components"": {""Growth"": 90.5, ""Liquidity"": 68.5, ""Breadth"": 85.3, ""Credit"": 77.0, ""Volatility safety"": 57.1}}",2026-07-22T16:02:39.576830+00:00
2025-12-05,Risk-On Expansion,Growth-oriented,73.9,23.0,77.0,92.2,69.5,88.8,77.4,57.1,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 73.9, ""risk_score"": 23.0, ""composite"": 77.0, ""components"": {""Growth"": 92.2, ""Liquidity"": 69.5, ""Breadth"": 88.8, ""Credit"": 77.4, ""Volatility safety"": 57.1}}",2026-07-22T16:02:39.736872+00:00
2025-12-12,Risk-On Expansion,Growth-oriented,70.5,27.8,72.2,81.1,62.4,87.9,73.7,55.9,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 70.5, ""risk_score"": 27.8, ""composite"": 72.2, ""components"": {""Growth"": 81.1, ""Liquidity"": 62.4, ""Breadth"": 87.9, ""Credit"": 73.7, ""Volatility safety"": 55.9}}",2026-07-22T16:02:39.905497+00:00
2025-12-19,Late-Cycle Risk-On,Moderately invested,67.3,32.4,67.6,72.1,56.6,84.2,70.5,54.7,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 67.3, ""risk_score"": 32.4, ""composite"": 67.6, ""components"": {""Growth"": 72.1, ""Liquidity"": 56.6, ""Breadth"": 84.2, ""Credit"": 70.5, ""Volatility safety"": 54.7}}",2026-07-22T16:02:40.066663+00:00
2025-12-26,Late-Cycle Risk-On,Moderately invested,69.9,28.8,71.2,78.5,60.6,89.9,72.3,54.9,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 69.9, ""risk_score"": 28.8, ""composite"": 71.2, ""components"": {""Growth"": 78.5, ""Liquidity"": 60.6, ""Breadth"": 89.9, ""Credit"": 72.3, ""Volatility safety"": 54.9}}",2026-07-22T16:02:40.230209+00:00
2026-01-02,Late-Cycle Risk-On,Moderately invested,67.8,31.7,68.3,72.0,56.6,87.3,70.7,55.0,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 67.8, ""risk_score"": 31.7, ""composite"": 68.3, ""components"": {""Growth"": 72.0, ""Liquidity"": 56.6, ""Breadth"": 87.3, ""Credit"": 70.7, ""Volatility safety"": 55.0}}",2026-07-22T16:02:40.389409+00:00
2026-01-09,Risk-On Expansion,Growth-oriented,74.5,22.1,77.9,95.0,70.8,94.7,75.4,53.7,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 74.5, ""risk_score"": 22.1, ""composite"": 77.9, ""components"": {""Growth"": 95.0, ""Liquidity"": 70.8, ""Breadth"": 94.7, ""Credit"": 75.4, ""Volatility safety"": 53.7}}",2026-07-22T16:02:40.555999+00:00
2026-01-16,Risk-On Expansion,Growth-oriented,73.6,23.5,76.5,89.5,68.0,90.1,77.2,57.8,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 73.6, ""risk_score"": 23.5, ""composite"": 76.5, ""components"": {""Growth"": 89.5, ""Liquidity"": 68.0, ""Breadth"": 90.1, ""Credit"": 77.2, ""Volatility safety"": 57.8}}",2026-07-22T16:02:40.718670+00:00
2026-01-23,Risk-On Expansion,Growth-oriented,71.1,27.0,73.0,83.0,63.7,86.9,74.7,56.5,"{""regime"": ""Risk-On Expansion"", ""posture"": ""Growth-oriented"", ""confidence"": 71.1, ""risk_score"": 27.0, ""composite"": 73.0, ""components"": {""Growth"": 83.0, ""Liquidity"": 63.7, ""Breadth"": 86.9, ""Credit"": 74.7, ""Volatility safety"": 56.5}}",2026-07-22T16:02:40.885481+00:00
2026-01-30,Late-Cycle Risk-On,Moderately invested,69.6,29.1,70.9,79.1,61.2,84.1,73.5,56.3,"{""regime"": ""Late-Cycle Risk-On"", ""posture"": ""Moderately invested"", ""confidence"": 69.6, ""risk_score"": 29.1, ""composite"": 70.9, ""components"": {""Growth"": 79.1, ""Liquidity"": 61.2, ""Breadth"": 84.1, ""Credit"": 73.5, ""Volatility safety"": 56.3}}",2026-07-22T16:02:41.047686+00:00
